m,n,k,avg
0,1343,1867,163,0.0198871
0,556,1998,3047,0.214442
0,32,3965,950,0.0247979
0,1736,294,2785,0.0923184
0,950,1605,687,0.0596554
0,4096,32,425,0.0109946
0,425,1343,4096,0.154352
0,2785,2654,163,0.0564024
0,3572,1998,556,0.211058
0,2261,163,3572,0.0932562
0,3178,3441,819,0.50884
0,163,1081,3309,0.0415457
0,32,1474,2261,0.0143071
0,1736,2785,425,0.143546
0,425,3309,163,0.0135867
0,819,1736,294,0.0300033
0,1998,819,1212,0.111563
0,294,3703,1081,0.0641851
0,687,32,3441,0.0131235
0,1867,163,163,0.00387101
0,163,3309,32,0.00246379
0,1343,294,3965,0.0989793
0,556,425,2392,0.0428225
0,3703,32,2130,0.0408824
0,32,3441,3178,0.0572845
0,3703,1867,163,0.0657306
0,3703,1474,3441,1.06237
0,2785,1081,556,0.0955343
0,1081,1867,687,0.0861324
0,2654,3834,687,0.455545
0,3441,1343,32,0.0235186
0,3178,425,3309,0.278867
0,1474,3178,2916,0.752417
0,1867,2654,950,0.269038
0,556,2130,819,0.0619917
0,950,1867,163,0.0172068
0,1212,2392,819,0.140469
0,2654,687,32,0.00667575
0,819,1212,3309,0.406459
0,2392,3834,32,0.0372894
0,294,32,3834,0.00618318
0,687,1343,294,0.0196019
0,1474,1212,425,0.0421846
0,687,556,2261,0.0568384
0,163,687,687,0.00613671
0,1343,1605,819,0.114294
0,556,1212,1343,0.0663308
0,2130,2785,163,0.0392649
0,1343,819,1474,0.0894
0,32,2130,1605,0.0159186
0,1736,32,1605,0.0118793
0,2916,163,425,0.0166887
0,32,819,1736,0.00956337
0,425,1605,2392,0.106278
0,1998,3834,556,0.236641
0,1605,425,2654,0.101581
0,1081,1343,2916,0.255911
0,2654,2261,32,0.0234998
0,3309,2261,556,0.254572
0,2523,163,2261,0.068094
0,3178,2392,3703,1.66607
0,1474,950,2261,0.184691
0,556,2654,425,0.0413137
0,425,3572,819,0.0838021
0,1998,32,2130,0.0222299
0,1605,2130,32,0.0148182
0,294,556,1867,0.0234734
0,1867,950,1081,0.122332
0,1343,32,425,0.00272718
