node ppn nthreads layout dset gset zsetx zsety zsetz groups quad zonex zoney zonez legendre solver k1 k2 k3 k4 k5 Solver k7 SweepSolver k9
0 1 32 2 4 16 1 1 1 1 8 16 16 16 16 4 1 0.0233193 0.0048856 0.00609461 0.0075202 0.00817767 0.0494944 0.000394776 0.0189312 0.0107444
0 1 32 2 3 24 4 1 1 1 8 24 24 24 24 0 0 0.0273761 0.00512585 0.00600705 0.0105307 0.0035238 0.0874778 0.000489245 0.0576208 0.0346537
0 1 32 2 5 24 8 1 1 1 8 24 24 24 24 2 1 0.0305364 0.0106592 0.0226409 0.0321902 0.0120954 0.333967 0.000259362 0.252274 0.125202
0 1 32 2 2 24 8 1 1 1 32 24 24 24 24 1 1 0.0331582 0.00841217 0.00736571 0.0380877 0.0424079 0.610126 0.000547541 0.500505 0.127517
0 1 32 2 4 8 8 1 1 1 64 24 8 8 8 4 0 0.0242246 0.00635023 0.00975042 0.004091 0.0664056 0.12931 0.00040883 0.0390332 0.0166196
0 1 32 2 3 16 4 1 1 1 16 32 16 16 16 1 0 0.0239876 0.00585473 0.00808369 0.00731547 0.00578678 0.0762257 0.000343489 0.0450699 0.0236439
0 1 32 2 4 8 4 2 2 2 8 8 16 16 16 4 0 0.0281258 0.0090145 0.0148706 0.014836 0.0188591 0.163698 0.000734877 0.102458 0.0523258
0 1 32 2 0 8 8 1 1 1 24 16 8 8 8 1 1 0.0232706 0.00192335 0.00232614 0.00597704 0.00425739 0.0473301 0.000554076 0.0289492 0.00860863
0 1 32 2 1 8 2 1 1 1 16 8 24 24 24 1 1 0.0246138 0.00405477 0.00479044 0.00736826 0.0165335 0.0791772 0.000311834 0.0412053 0.0306882
0 1 32 2 5 16 8 1 1 1 24 16 16 16 16 3 1 0.0266703 0.0122596 0.0171426 0.0171657 0.0412827 0.222015 0.000257718 0.129913 0.060851
0 1 32 2 1 24 2 1 1 1 24 24 24 24 24 4 1 0.0273893 0.0494065 0.0848273 0.0111445 0.192896 0.572196 0.000371101 0.211699 0.136606
0 1 32 2 0 8 8 1 1 1 48 8 8 8 8 1 1 0.0238404 0.00143129 0.00222491 0.0101485 0.00668523 0.0498951 0.000562294 0.0256375 0.00822958
0 1 32 2 5 8 4 2 2 2 32 16 16 16 16 3 1 0.0312873 0.0194667 0.0171366 0.0136384 0.0673627 0.508039 0.000566335 0.385433 0.0736821
0 1 32 2 3 8 4 2 2 2 8 8 16 16 16 4 1 0.0273429 0.00633566 0.0109475 0.0184235 0.0109323 0.164529 0.000840992 0.113934 0.0272764
0 1 32 2 1 8 4 1 1 1 56 8 16 16 16 2 0 0.0243891 0.0047966 0.0077075 0.00626419 0.110831 0.169355 0.000276292 0.0336552 0.0206732
0 1 32 2 0 24 2 1 1 1 24 24 24 24 24 2 1 0.0254903 0.0105041 0.011582 0.00320375 0.0542026 0.251655 0.000363515 0.15703 0.082502
0 1 32 2 0 16 4 1 1 1 8 32 16 16 16 4 0 0.0252445 0.00554135 0.00541493 0.00466549 0.00794847 0.0573835 0.000328231 0.0299668 0.0153608
0 1 32 2 2 8 4 2 2 2 8 8 16 16 16 4 1 0.026889 0.00557891 0.00575516 0.0234799 0.0108746 0.160889 0.00112992 0.110579 0.0252145
0 1 32 2 3 8 4 2 2 2 8 16 16 16 16 3 0 0.0274014 0.00698611 0.0133306 0.0133639 0.00987755 0.121933 0.000703684 0.074983 0.0285461
0 1 32 2 5 16 4 1 1 1 64 32 16 16 16 0 1 0.0260303 0.0151904 0.00925241 0.0107586 0.0298018 0.313929 0.000239626 0.237653 0.104546
0 1 32 2 1 24 2 1 1 1 16 24 24 24 24 3 1 0.0258695 0.031773 0.0442638 0.0160321 0.0600632 0.313559 0.000282045 0.149485 0.0960503
0 1 32 2 3 24 8 1 1 1 56 24 24 24 24 4 1 0.0364509 0.149423 0.575687 0.0382082 0.95105 2.61558 0.00059428 0.856302 0.295717
0 1 32 2 0 8 4 2 2 2 24 8 16 16 16 4 0 0.0271695 0.00912665 0.0117043 0.0122987 0.0629482 0.176479 0.000692918 0.0746117 0.0307045
0 1 32 2 0 16 4 1 1 1 8 16 16 16 16 0 1 0.0234477 0.00140753 0.0019155 0.0131705 0.00225436 0.0532303 0.000505153 0.0306735 0.0113965
0 1 32 2 5 8 2 2 2 2 16 16 16 16 16 1 1 0.0251004 0.00370581 0.00458838 0.0169706 0.00535662 0.141359 0.000279088 0.108382 0.032748
0 1 32 2 1 24 4 1 1 1 8 24 24 24 24 3 0 0.0277402 0.0337263 0.065948 0.0105316 0.0303423 0.227127 0.000262049 0.0808317 0.0480641
