,nnodes,ppn,nthreads,nbodies,distribution,ncrit,level,order,init_bodies,precalculation,build_tree,p2m_&_m2m,local_essential_tree,m2l_&_p2p,l2l_&_l2p,total_fmm
0,1,64,1,9984,cube,127,3,14,0.000763,0.006097,9e-06,0.000704,0.181024,0.224126,1.04875,0.002412,1.46415
0,1,64,1,6784,cube,143,3,7,0.000517,0.005585,6e-06,0.000233,0.058405,0.211668,0.145979,0.000318,0.423156
0,1,64,1,25536,cube,90,1,4,0.000947,0.00677,6e-06,0.002393,0.135302,0.161482,0.178329,0.005096,0.49044
0,1,64,1,32320,cube,250,4,9,0.001193,0.007987,5e-06,0.000501,0.226786,0.158098,0.30591,0.002348,0.702575
0,1,64,1,58560,cube,55,3,4,0.002419,0.007214,7e-06,0.001013,0.232618,0.112315,0.102941,0.001702,0.458899
0,1,64,1,10560,cube,162,3,12,0.001024,0.006684,5e-06,0.000241,0.20845,0.20157,0.804174,0.001054,1.22331
0,1,64,1,6208,cube,242,4,5,0.000702,0.007135,6e-06,0.000363,0.287749,0.058063,0.087116,0.000195,0.441608
0,1,64,1,30272,cube,177,1,8,0.001022,0.006952,3e-06,0.003024,0.320277,0.113217,0.810277,0.014419,1.26936
0,1,64,1,50944,cube,255,4,8,0.001292,0.00774,6e-06,0.000782,0.194446,0.300936,0.212522,0.002824,0.720257
0,1,64,1,7552,cube,162,3,15,0.000493,0.006925,5e-06,0.000225,0.207832,0.257171,1.02067,0.001158,1.49492
0,1,64,1,44160,cube,55,4,14,0.001088,0.007913,6.4e-05,0.002614,0.209029,0.649478,4.74912,0.014683,5.63398
