,nbytes,nnodes,ppn,avg,std
277,4096,32,4,6.12885e-05,0.514355
278,9410,32,4,9.4079e-05,0.339252
279,21619,32,4,0.000223286,0.238489
280,49667,32,4,0.000282208,0.220849
281,114105,32,4,0.000469908,0.283417
282,262144,32,4,0.000980779,0.377527
283,602249,32,4,0.00129532,0.373553
284,1383604,32,4,0.00174067,0.199297
285,3178688,32,4,0.00265305,0.146129
286,7302707,32,4,0.00433347,0.123176
287,16777216,32,4,0.00879666,0.0657568
368,64,32,8,1.14283e-05,0.362223
369,147,32,8,6.46578e-05,0.428495
370,338,32,8,6.47245e-05,0.325934
371,776,32,8,5.4158e-05,0.350675
372,1783,32,8,5.66704e-05,0.393349
373,4096,32,8,6.22367e-05,0.339703
374,9410,32,8,8.0999e-05,0.208642
375,21619,32,8,0.000221987,0.396053
376,49667,32,8,0.000271596,0.196776
377,114105,32,8,0.000438522,0.322488
378,262144,32,8,0.000824506,0.247589
379,602249,32,8,0.00144467,0.27212
380,1383604,32,8,0.00221235,0.117737
381,3178688,32,8,0.00350005,0.0652371
382,7302707,32,8,0.00604485,0.0348403
383,16777216,32,8,0.0118899,0.0250987
464,64,32,16,1.35815e-05,0.635126
465,147,32,16,6.03466e-05,0.204969
466,338,32,16,6.58739e-05,0.408132
467,776,32,16,5.82078e-05,0.307808
468,1783,32,16,5.58689e-05,0.35387
469,4096,32,16,6.38818e-05,0.360793
470,9410,32,16,9.07549e-05,0.363093
471,21619,32,16,0.00020601,0.279928
472,49667,32,16,0.000287548,0.354192
473,114105,32,16,0.000431234,0.231247
474,262144,32,16,0.000906909,0.300949
475,602249,32,16,0.00147857,0.185864
476,1383604,32,16,0.00225271,0.0815172
477,3178688,32,16,0.00353395,0.0728453
