m,n,k,avg,std
7536,2416,2050,2825,0.776534,0.000816184
7552,2887,1723,2519,0.708084,0.00268786
7568,1826,3656,2663,0.984814,0.00202315
7584,2576,312,1226,0.0608199,0.0143203
7600,814,2058,3408,0.337475,0.00437981
7616,268,2126,101,0.00399216,0.00835226
7632,3603,1792,198,0.072389,0.0113948
7648,1847,1191,1893,0.242618,0.0113819
7664,2775,916,1070,0.162755,0.00888399
7680,1296,1388,1872,0.189338,0.00469108
7696,2177,1395,2204,0.382164,0.00330183
7712,2173,2507,805,0.247919,0.0088146
7728,128,2773,2186,0.0511538,0.00502297
7744,2563,3883,1120,0.64541,0.00270499
7760,1976,209,2776,0.0780444,0.00937266
7776,599,1169,169,0.00785734,0.0313814
7792,1767,867,40,0.00510803,0.00559175
7808,789,3699,1458,0.247671,0.0033564
7824,2435,622,3587,0.321089,0.00491587
7840,542,367,933,0.0125624,0.00596365
7856,298,3718,2470,0.167466,0.00887651
7872,2562,2777,2509,1.05191,0.0202086
7888,2269,822,2203,0.237948,0.00475084
7904,3160,1409,3955,0.984383,0.00161595
7920,1662,3854,3222,1.1539,0.00187994
7936,1026,2654,2700,0.451797,0.00611952
7952,679,2347,1315,0.12575,0.00499653
7968,3059,900,2596,0.413496,0.00396867
7984,133,2542,1588,0.0391958,0.00799971
8000,2921,1818,2971,0.884771,0.00220296
8016,1771,1802,4078,0.753068,0.00221994
8032,2329,2736,2310,0.812192,0.00152033
8048,2832,2503,964,0.376507,0.00502922
8064,3684,3222,3350,2.17488,0.00344209
8080,619,2102,3257,0.251096,0.00565579
8096,2070,974,3039,0.361078,0.00388802
8112,359,1482,3467,0.119364,0.00381569
8128,1411,2779,1395,0.319729,0.00564606
8144,4070,566,3976,0.554268,0.00290327
8160,1446,1344,1151,0.131063,0.00716553
8176,390,3480,1149,0.0963685,0.00667644
8192,2427,682,1760,0.174557,0.00551322
8208,1952,1626,2447,0.434677,0.00248775
8224,3099,824,3959,0.580374,0.008247
8240,2441,1506,2403,0.519444,0.0181956
8256,718,1586,2988,0.204789,0.0202095
8272,3111,658,2034,0.252667,0.00977588
8288,3947,86,1818,0.0475254,0.0131779
8304,1148,3048,2353,0.493932,0.0164398
8320,3474,3655,791,0.561241,0.00302443
8336,2764,1382,3434,0.774868,0.0130479
8352,1691,629,634,0.0408826,0.0222932
8368,2668,3316,1002,0.486262,0.00341118
8384,2153,3313,2547,1.04931,0.0143513
8400,4006,2407,158,0.0879739,0.00879042
8416,2017,3937,3498,1.54735,0.00194725
8432,3985,3134,3655,2.52482,0.0135996
8448,1868,3291,1230,0.424963,0.00616099
8464,2611,3162,733,0.354126,0.0062122
8480,236,2754,44,0.00255511,0.0290795
8496,1508,2082,674,0.129779,0.00952731
8512,3660,270,507,0.0357141,0.0168502
8528,350,3040,453,0.033487,0.0149737
8544,4023,1288,1640,0.478056,0.00273406
8560,3751,4081,296,0.249313,0.00561941
8576,1129,1350,2084,0.18722,0.00710741
8592,162,3436,727,0.0275792,0.0092293
8608,2537,1523,2846,0.617587,0.00365306
8624,3237,2773,3420,1.71134,0.00311566
8640,3561,3439,2621,1.76434,0.0022562
8656,1924,2237,1690,0.420185,0.00317206
8672,298,3481,3754,0.242559,0.00516392
8688,2263,3278,2951,1.21272,0.00197016
8704,2425,2854,1463,0.561754,0.0033958
8720,2642,3549,1669,0.859476,0.000696041
8736,2908,329,1584,0.0956022,0.00916964
8752,133,2137,3312,0.0671296,0.00672529
8768,673,452,2711,0.0545073,0.0304215
8784,815,3450,3170,0.532002,0.019061
8800,2461,2122,1013,0.331543,0.0280101
8816,477,3322,3576,0.342312,0.00407939
8832,179,1257,295,0.00467639,0.0232953
8848,3797,2143,3735,1.72918,0.001479
8864,75,3946,2235,0.0636644,0.0098954
8880,1656,3553,408,0.136663,0.00845357
8896,2295,823,35,0.0056925,0.00904826
8912,521,221,515,0.00501496,0.0279305
8928,4076,395,402,0.0420506,0.0201251
8944,3630,397,2703,0.243332,0.00609266
8960,2951,3951,1318,0.848803,0.0016666
8976,2625,4038,2283,1.33265,0.00174014
8992,1077,767,2839,0.141166,0.00885041
9008,3316,2357,909,0.395595,0.00374607
9024,2355,2979,1284,0.504629,0.00134353
9040,3048,1504,2351,0.600239,0.00971647
9056,2790,912,3553,0.517493,0.00547296
9072,106,2692,1073,0.0222693,0.017877
9088,2437,2481,1199,0.405241,0.00352973
9104,757,1194,3281,0.177347,0.00582574
9120,3146,1403,1032,0.270896,0.00765598
9136,2016,1929,2773,0.606025,0.00266494
9152,3469,1505,3877,1.13305,0.000395674
9168,1275,680,1061,0.0579625,0.018878
9184,1553,1385,3088,0.382338,0.00344837
9200,2949,1748,3615,1.04223,0.00105563
9216,2449,906,3414,0.445766,0.005864
9232,2576,2531,3512,1.27801,0.0143856
9248,69,3394,2621,0.056343,0.00514388
9264,1872,2583,2402,0.660684,0.00200555
9280,569,3731,1493,0.187796,0.00946889
9296,1652,1684,3620,0.570514,0.00377638
9312,2946,2482,3263,1.32729,0.000993281
9328,134,4020,2601,0.0988395,0.0054815
9344,3825,2133,2213,1.00437,0.00541626
9360,648,3782,2593,0.359414,0.00415487
9376,510,1050,373,0.0148752,0.0189694
9392,1526,3235,790,0.22215,0.00382483
9408,730,3456,261,0.0381457,0.0064344
9424,948,635,930,0.0344026,0.0131893
9440,570,2298,773,0.0605419,0.00659572
9456,1511,985,2093,0.183643,0.00345757
9472,135,3044,1313,0.0407998,0.00664385
9488,2383,769,3053,0.334196,0.00763259
9504,1767,115,891,0.0156579,0.0196802
9520,2804,694,3537,0.406652,0.00389409
9536,3985,2389,1739,0.928335,0.00141347
9552,2054,3908,53,0.0338418,0.0158663
9568,2808,766,755,0.0941489,0.00939674
9584,3307,3381,3735,2.3401,0.00100924
9600,1221,1641,2490,0.286348,0.00701184
9616,814,1881,2201,0.197046,0.00574344
9632,2702,1590,2364,0.587436,0.0014191
