m,n,avg,std
10048,3546,65,0.00491069,0.00311044
10064,438,84,0.000976757,0.0247348
10080,139,118,0.000820173,0.0386304
10096,159,73,0.000473136,0.0426149
10112,3509,83,0.00770267,0.00610066
10128,333,164,0.00215554,0.0270515
10144,4614,304,0.08301,0.00582839
10160,541,91,0.00149611,0.0428097
10176,1119,151,0.00742986,0.018681
10192,1969,781,0.149855,0.00233852
10208,1833,714,0.120176,0.00535677
10224,17052,103,0.0587634,0.00828743
10240,1969,758,0.142717,0.00519816
10256,2469,68,0.00367445,0.00833363
10272,1621,850,0.136828,0.00626986
10288,3269,96,0.00829674,0.0147533
10304,18291,72,0.0352153,0.00693913
10320,145,72,0.00044644,0.0555419
10336,700,88,0.00167465,0.0229811
10352,709,149,0.00442635,0.0265821
10368,2276,241,0.0280157,0.00212897
10384,1990,648,0.107388,0.00617291
10400,518,495,0.0212936,0.00997914
10416,2544,546,0.106538,0.00585878
10432,254,131,0.00130324,0.0229888
10448,1275,529,0.0535101,0.00995649
10464,311,273,0.00504294,0.0158645
10480,7839,176,0.0559405,0.00747193
10496,321,166,0.00231237,0.0236129
10512,264,247,0.00344077,0.0272947
10528,1552,72,0.00241753,0.0175003
10544,10342,155,0.0692905,0.00403646
10560,766,81,0.00151357,0.0311486
10576,580,169,0.00422027,0.0253599
10592,346,91,0.000994231,0.0342923
10608,527,240,0.0069013,0.00814717
10624,498,170,0.00356731,0.0229936
10640,740,543,0.0333691,0.00649173
10656,1560,91,0.00451287,0.0190944
10672,315,71,0.000612377,0.0607357
10688,442,384,0.0114458,0.0099607
10704,265,139,0.00148463,0.0337898
10720,2690,269,0.0394968,0.00851863
10736,1501,722,0.100566,0.00377043
10752,1000,390,0.0277156,0.0064105
10768,655,291,0.0127993,0.00599936
10784,127,65,0.000327783,0.0807536
10800,1788,94,0.0054025,0.00867817
10816,2279,66,0.00333604,0.0355707
10832,1242,530,0.0530194,0.029324
10848,8344,160,0.0541738,0.00546771
10864,1179,339,0.028109,0.033101
10880,2608,204,0.0240103,0.00914966
10896,367,252,0.00547827,0.0180071
10912,10429,72,0.0196285,0.00959086
10928,7276,157,0.0445363,0.00672441
10944,624,101,0.00175396,0.0187741
10960,1134,190,0.0105992,0.00994959
10976,17714,99,0.0557952,0.0061995
10992,3248,181,0.0249959,0.00364172
11008,9891,65,0.0164948,0.00629799
11024,3372,69,0.00504739,0.00236938
11040,5345,230,0.0577508,0.00717533
11056,2270,158,0.0151338,0.024287
11072,3598,516,0.139564,0.00984214
11088,9861,188,0.0866616,0.00244804
11104,7582,198,0.0663481,0.00433218
11120,1953,289,0.0327985,0.00697111
11136,16602,66,0.0303825,0.00974111
11152,1381,302,0.0255975,0.00969038
11168,3819,225,0.040063,0.00743881
11184,6688,69,0.00983684,0.00560427
11200,1439,448,0.0454261,0.00685079
11216,2769,208,0.0259544,0.00978592
11232,5214,216,0.0508739,0.00597003
11248,1366,257,0.0204907,0.00617109
11264,3480,241,0.0417375,0.00557842
11280,11798,176,0.093748,0.0221361
11296,15010,79,0.0380464,0.00774233
11312,878,877,0.0697717,0.00620688
11328,562,211,0.00614955,0.0199305
11344,365,245,0.00503651,0.00986296
11360,967,112,0.0034703,0.0247641
11376,1006,69,0.0014892,0.0288477
11392,639,535,0.0295143,0.00784038
11408,3314,495,0.121983,0.00996067
11424,474,66,0.000688877,0.0484742
11440,170,107,0.000807378,0.0424385
11456,693,77,0.00127086,0.0416398
11472,104,81,0.00042937,0.0443039
11488,3584,241,0.053462,0.00966994
