m,n,k,avg
0,1873,153,1001,0.0204995
0,286,392,1873,0.0138038
0,2995,3503,32,0.0268451
0,1171,1601,732,0.0864042
0,1601,335,3503,0.115079
0,2561,2995,1369,0.601464
0,70,626,2561,0.0123223
0,856,1601,335,0.0290477
0,2190,1369,392,0.0747557
0,1873,2995,131,0.0433561
0,732,1873,1171,0.0949176
0,535,2995,1001,0.101442
0,1601,1369,458,0.0600841
0,626,4096,4096,0.578441
0,1369,2190,1601,0.285359
0,153,82,1601,0.00155453
0,4096,1369,2190,0.668573
0,2190,37,2190,0.0175626
0,856,209,1601,0.0205599
0,209,131,856,0.0023125
0,3503,4096,51,0.0537646
0,286,1873,153,0.00534732
0,2561,2190,209,0.064343
0,1001,392,112,0.00313056
0,4096,131,1001,0.043723
0,1369,112,51,0.00101016
0,2190,3503,60,0.0312667
0,856,2995,392,0.0686459
0,335,1369,2561,0.0750691
0,3503,286,3503,0.219421
0,1873,458,2561,0.149305
0,732,3503,1369,0.209624
0,209,392,1001,0.00664122
0,82,856,1873,0.0126806
0,1601,732,732,0.0568832
0,179,856,3503,0.0380702
0,1171,153,2561,0.0341091
0,392,458,3503,0.0405094
0,2561,112,1369,0.03312
0,1001,245,732,0.0185606
0,4096,2561,82,0.0539551
0,2190,245,392,0.0161871
0,112,82,245,0.000165001
0,3503,2190,286,0.12947
0,2995,2561,179,0.0783832
0,1171,2190,70,0.0113233
0,1601,245,626,0.0166785
0,1001,2561,2995,0.444894
0,1369,286,2190,0.0534534
0,4096,245,626,0.0435067
0,2190,1873,2190,0.520332
0,856,458,856,0.0225243
0,245,1171,2190,0.0437317
0,1873,856,626,0.0612171
0,51,1171,2995,0.019322
0,535,2190,1601,0.118716
0,1601,3503,112,0.0375126
0,1873,1601,51,0.012452
0,458,3503,458,0.0466239
0,1369,2995,392,0.0976314
0,70,2561,131,0.00812526
0,856,153,392,0.00397359
0,209,179,2561,0.00768621
0,3503,2995,1001,0.602906
0,1873,209,732,0.0202837
0,458,335,1369,0.0181261
0,37,732,96,0.000985048
0,1171,4096,1001,0.261816
0,1601,131,2561,0.0429924
0,1001,1001,37,0.00325459
0,335,82,2561,0.00610135
0,70,856,3503,0.0185667
0,2190,392,51,0.00394642
0,856,2190,131,0.0163364
0,335,1873,1171,0.0462873
0,2190,82,286,0.00499565
0,3503,209,626,0.0315525
0,1873,4096,179,0.0826716
0,732,1369,458,0.0289695
0,286,2995,4096,0.21276
0,2995,458,2190,0.182722
0,535,4096,732,0.0962809
0,209,1369,112,0.00219173
0,626,2995,1601,0.178207
0,179,1171,626,0.00929726
0,458,1873,209,0.0133173
0,1369,1601,2190,0.279809
0,153,1369,2190,0.0294583
0,1873,392,392,0.018641
0,245,209,2190,0.00941736
0,4096,3503,2995,2.29697
0,2190,335,1601,0.0746768
0,856,286,2190,0.038109
0,3503,1601,70,0.0267793
0,286,732,112,0.00156624
0,1171,856,286,0.0152166
0,626,535,209,0.00455717
0,2561,1601,286,0.0696353
0,4096,335,732,0.062373
0,2190,2561,82,0.0295295
0,856,4096,3503,0.696079
0,335,3503,1873,0.128232
0,3503,112,2561,0.0833032
0,1873,626,3503,0.246037
0,732,2561,1001,0.115932
0,82,1171,1369,0.0117969
0,1601,1001,1001,0.097663
0,458,2561,1369,0.0967169
0,1369,4096,179,0.0558649
0,1171,112,3503,0.0431085
0,392,4096,392,0.038063
0,2561,286,1873,0.0866395
0,1001,335,1001,0.0230473
0,2190,179,535,0.0149665
0,856,44,286,0.00100378
0,112,60,179,0.000109032
0,44,1601,1601,0.0113118
0,732,179,626,0.00604328
0,2995,3503,131,0.0834682
0,626,286,2190,0.0270381
0,2561,2995,37,0.0216843
0,1001,3503,2190,0.445946
0,535,96,732,0.00289126
0,1369,209,2995,0.0580977
0,2190,1369,1601,0.276337
0,856,626,626,0.022046
0,245,1601,1601,0.0383468
0,286,626,1601,0.0187239
0,1873,1171,458,0.057213
0,51,856,2190,0.00971179
0,535,2995,4096,0.368174
0,1601,1369,286,0.035999
0,626,4096,1001,0.150005
0,458,1369,1171,0.0452762
0,1369,2190,1001,0.169784
0,1171,209,458,0.00814495
0,37,335,179,0.000689393
0,245,2561,131,0.00607298
0,392,2190,335,0.0178055
0,96,2190,96,0.00680088
0,856,209,1001,0.0121966
0,3503,4096,732,0.592065
0,44,2995,732,0.0115983
0,1873,286,1873,0.0650493
0,732,335,3503,0.0594922
0,179,209,1001,0.00336471
0,1171,2995,112,0.0255009
0,179,2190,2561,0.0685509
0,1601,179,535,0.0118513
0,2190,3503,245,0.108944
0,856,2995,179,0.0260516
0,3503,286,856,0.0526985
0,286,392,2995,0.0252839
0,245,2995,535,0.0248165
0,732,3503,626,0.100616
0,286,4096,2995,0.204852
0,2995,626,2995,0.330896
0,1601,732,2995,0.207404
0,626,2190,2190,0.18439
0,179,856,856,0.00837492
0,1369,1171,856,0.0770189
0,392,458,1171,0.0141385
0,153,1873,2995,0.0661585
0,1001,245,2995,0.0519246
0,245,286,1601,0.008696
0,4096,2561,4096,2.23217
0,131,4096,70,0.00354463
0,2190,245,4096,0.144246
0,3503,2190,96,0.0426745
0,1873,44,1171,0.0097686
0,1171,2190,209,0.032355
0,2995,82,335,0.00514902
0,2561,4096,112,0.0652114
